elapsed_s,lidar_timestamp,state,reason,speed,steering,pair_valid,car_count,gap_width_mm,car1_x_mm,car1_y_back_mm,car2_x_mm,car2_y_back_mm,entrance_x_mm,entrance_y_back_mm,depth_x,depth_y_back,decision_angle_deg,heading_error_deg,lateral_error_mm,depth_progress_mm,depth_remaining_mm,target_x_mm,target_y_back_mm,curvature_per_mm,geometric_steering,physical_steering,clusters
3.435363,1785154783.678755045,search_cars,lidar_not_fresh_hold_search:lidar_error:Descriptor length mismatch,0,-33,0,0,,,,,,,,,,,,,,,,,,,,
3.471916,1785154783.712807894,search_cars,lidar_not_fresh_hold_search:lidar_error:Descriptor length mismatch,0,-33,0,0,,,,,,,,,,,,,,,,,,,,
3.503256,1785154783.744496107,search_cars,lidar_not_fresh_hold_search:lidar_error:Descriptor length mismatch,0,-33,0,0,,,,,,,,,,,,,,,,,,,,
3.535098,1785154783.778150797,search_cars,lidar_not_fresh_hold_search:lidar_error:Descriptor length mismatch,0,-33,0,0,,,,,,,,,,,,,,,,,,,,
3.571766,1785154783.810449839,search_cars,lidar_not_fresh_hold_search:lidar_error:Descriptor length mismatch,0,-33,0,0,,,,,,,,,,,,,,,,,,,,
3.600509,1785154783.843868017,search_cars,lidar_not_fresh_hold_search:lidar_error:Descriptor length mismatch,0,-33,0,0,,,,,,,,,,,,,,,,,,,,
3.634549,1785154783.876454830,search_cars,lidar_not_fresh_hold_search:lidar_error:Descriptor length mismatch,0,-33,0,0,,,,,,,,,,,,,,,,,,,,
3.669801,1785154783.910094023,search_cars,lidar_not_fresh_hold_search:lidar_error:Descriptor length mismatch,0,-33,0,0,,,,,,,,,,,,,,,,,,,,
3.700465,1785154783.942466021,search_cars,lidar_not_fresh_hold_search:lidar_error:Descriptor length mismatch,0,-33,0,0,,,,,,,,,,,,,,,,,,,,
3.733788,1785154783.975866079,search_cars,lidar_not_fresh_hold_search:lidar_error:Descriptor length mismatch,0,-33,0,0,,,,,,,,,,,,,,,,,,,,
3.773390,1785154784.008883953,search_cars,lidar_not_fresh_hold_search:lidar_error:Descriptor length mismatch,0,-33,0,0,,,,,,,,,,,,,,,,,,,,
3.799236,1785154784.041575909,search_cars,lidar_not_fresh_hold_search:lidar_error:Descriptor length mismatch,0,-33,0,0,,,,,,,,,,,,,,,,,,,,
3.831640,1785154784.074409008,search_cars,lidar_not_fresh_hold_search:lidar_error:Descriptor length mismatch,0,-33,0,0,,,,,,,,,,,,,,,,,,,,
3.868311,1785154784.106942892,search_cars,lidar_not_fresh_hold_search:lidar_error:Descriptor length mismatch,0,-33,0,0,,,,,,,,,,,,,,,,,,,,
